"EJs","Eixo","Media"
"Agrosertão","GO",2.9
"Agrosertão","MN",3.1
"Agrosertão","TC",2.93333333333333
"Agrosertão","VM",3.3
"Easy Jr.","GO",0.6
"Easy Jr.","MN",1.1
"Easy Jr.","TC",1.36666666666667
"Easy Jr.","VM",1.3
"EdificarSe","GO",2.53333333333333
"EdificarSe","MN",2.8
"EdificarSe","TC",2.43333333333333
"EdificarSe","VM",2.8
"EJAUFS","GO",1.6
"EJAUFS","MN",1.1
"EJAUFS","TC",1.5
"EJAUFS","VM",2.5
"Empreeng","GO",1.7
"Empreeng","MN",1
"Empreeng","TC",1.96666666666667
"Empreeng","VM",2.1
"Excelência","GO",3.13333333333333
"Excelência","MN",2.9
"Excelência","TC",3.6
"Excelência","VM",3.9
"ProdUP","GO",0.9
"ProdUP","MN",1.2
"ProdUP","TC",1.8
"ProdUP","VM",0.8
"QuimTec","GO",2.36666666666667
"QuimTec","MN",3
"QuimTec","TC",2.46666666666667
"QuimTec","VM",3.2
"Reina","GO",1.53333333333333
"Reina","MN",1.3
"Reina","TC",0.7
"Reina","VM",2.2
"SERCIVIL","GO",0.766666666666667
"SERCIVIL","MN",0.4
"SERCIVIL","TC",0.5
"SERCIVIL","VM",0.9
"STARTEQ","GO",0.966666666666667
"STARTEQ","MN",1.6
"STARTEQ","TC",1.76666666666667
"STARTEQ","VM",1.4
"Terra Rara","GO",1.1
"Terra Rara","MN",1.3
"Terra Rara","TC",2.2
"Terra Rara","VM",1.6
